id,ano_nascimento,nivel_educacao,estado_civil,renda_familiar_anual,num_criancas,num_adolescentes,data_cadastro,total_dias_ultima_compra,reclamacoes_ultimos_2_anos
5524,1957,Graduação,Solteiro,58.138,0,0,04-09-2012,58,0
2174,1954,Graduação,Solteiro,46.344,1,1,08-03-2014,38,0
4141,1965,Graduação,Casado,71.613,0,0,21-08-2013,26,0
6182,1984,Graduação,Casado,26.646,1,0,10-02-2014,26,0
5324,1981,Doutorado,Casado,58.293,1,0,19-01-2014,94,0
7446,1967,Mestrado,Casado,62.513,0,1,09-09-2013,16,0
965,1971,Graduação,Divorciado,55.635,0,1,13-11-2012,34,0
6177,1985,Doutorado,Casado,33.454,1,0,08-05-2013,32,0
4855,1974,Doutorado,Casado,30.351,1,0,06-06-2013,19,0
5899,1950,Doutorado,Casado,5.648,1,1,13-03-2014,68,0
1994,1983,Graduação,Casado,,1,0,15-11-2013,11,0
387,1976,Ensino Fundamental,Casado,7.5,0,0,13-11-2012,59,0
2125,1959,Graduação,Divorciado,63.033,0,0,15-11-2013,82,0
8180,1952,Mestrado,Divorciado,59.354,1,1,15-11-2013,53,0
2569,1987,Graduação,Casado,17.323,0,0,10-10-2012,38,0
2114,1946,Doutorado,Solteiro,82.8,0,0,24-11-2012,23,0
9736,1980,Graduação,Casado,41.85,1,1,,51,0
4939,1946,Graduação,Casado,37.76,0,0,31-08-2012,20,0
6565,1949,Mestrado,Casado,76.995,0,1,28-03-2013,91,
2278,1985,Ensino Médio,Solteiro,33.812,1,0,03-11-2012,86,0
9360,1982,Graduação,Casado,37.04,0,0,08-08-2012,41,0
5376,1979,Graduação,Casado,2.447,1,0,06-01-2013,42,0
1993,1949,Doutorado,Casado,58.607,0,1,23-12-2012,63,0
4047,1954,Doutorado,Casado,65.324,0,1,11-01-2014,0,0
1409,1951,Graduação,Casado,40.689,0,1,18-03-2013,,0
7892,1969,Graduação,Solteiro,18.589,0,0,02-01-2013,89,0
2404,1976,Graduação,Casado,53.359,1,1,27-05-2013,4,0
5255,1986,Graduação,Solteiro,,1,0,20-02-2013,19,0
9422,1989,Graduação,Casado,38.36,1,0,31-05-2013,26,0
1966,1965,Doutorado,Casado,84.618,0,0,22-11-2013,96,0
6864,1989,Mestrado,Divorciado,10.979,0,0,22-05-2014,34,0
3033,1963,Mestrado,Casado,38.62,0,0,11-05-2013,56,0
5710,1970,Graduação,Casado,40.548,0,1,10-10-2012,31,0
7373,1952,Doutorado,Divorciado,46.61,0,2,29-10-2012,8,0
8755,1946,Mestrado,Casado,68.657,0,0,20-02-2013,4,0
10738,1951,Mestrado,Solteiro,49.389,1,1,29-08-2013,55,0
4339,1970,Doutorado,Casado,67.353,0,1,31-12-2013,37,0
10755,1976,Ensino Médio,Casado,23.718,1,0,02-09-2013,76,0
8595,1973,Graduação,Viúvo,42.429,0,1,11-02-2014,99,0
2968,1943,Doutorado,Divorciado,48.948,0,0,01-02-2013,53,0
8601,1980,Graduação,Casado,80.011,0,1,29-04-2013,3,0
503,1985,Mestrado,Casado,20.559,1,0,12-03-2013,88,0
8430,1957,Graduação,Casado,21.994,0,1,24-12-2012,4,0
7281,1959,Doutorado,Solteiro,,0,0,05-11-2013,80,0
